tract_id,COUNTY,svi,population,lat,lon,flood_days,nearest_station,elevation_m,infra_count,storm_count,river_dist_mi,low_lying_norm,flood_days_norm,stormwater_norm,riverine_norm,compound_flood_norm,svi_norm,infrastructure_norm,coverage_norm,score
48167721207,Galveston County,0.2319,3842,29.5195603,-95.0333103,34.0,"Eagle Point, TX",4.0,0.0,0.0,,0.9506172839506173,1.0,0.0,0.0,0.9753086419753088,0.2320392235341205,0.0,0.4727355901393803,0.5557742149630631
48167725600,Galveston County,0.6439,4527,29.2676962,-94.8320423,18.0,"Galveston Pier 21, TX",9.0,0.0,0.0,,0.8888888888888888,0.3142857142857143,0.0,0.0,0.6015873015873016,0.644286571943166,0.0,0.9028271107841921,0.5542829683756547
48167720302,Galveston County,0.3331,6992,29.4969855,-95.2103452,34.0,"Eagle Point, TX",12.0,0.0,0.0,,0.8518518518518519,1.0,0.0,0.0,0.9259259259259259,0.3332999799879928,0.0,0.3560119961604475,0.5522578602791093
48167720702,Galveston County,0.2627,3956,29.499182,-95.1042995,34.0,"Eagle Point, TX",9.0,0.0,0.0,,0.8888888888888888,1.0,0.0,0.0,0.9444444444444444,0.2628577146287773,0.0,0.42790678975763347,0.5466479933643965
48167721402,Galveston County,0.166,766,29.5358927,-95.0268196,34.0,"Eagle Point, TX",4.0,0.0,0.0,,0.9506172839506173,1.0,0.0,0.0,0.9753086419753088,0.16609965979587754,0.0,0.46522788142345634,0.5352415749699978
48167720701,Galveston County,0.2356,2527,29.4989975,-95.0876236,34.0,"Eagle Point, TX",11.0,0.0,0.0,,0.8641975308641976,1.0,0.0,0.0,0.9320987654320989,0.23574144486692017,0.0,0.4422356736283406,0.5343904452673547
48167723402,Galveston County,0.1615,1596,29.4144608,-95.1215912,34.0,"Eagle Point, TX",6.0,0.0,0.0,,0.9259259259259259,1.0,0.0,0.0,0.962962962962963,0.16159695817490496,0.0,0.5131606795563952,0.5331284887414444
48167720509,Galveston County,0.2397,2083,29.4961205,-95.1182804,34.0,"Eagle Point, TX",12.0,0.0,0.0,,0.8518518518518519,1.0,0.0,0.0,0.9259259259259259,0.23984390634380628,0.0,0.4198422193326115,0.5306040605030697
48167720603,Galveston County,0.1606,4685,29.4448171,-95.1024222,34.0,"Eagle Point, TX",6.0,0.0,0.0,,0.9259259259259259,1.0,0.0,0.0,0.962962962962963,0.16069641785071043,0.0,0.4901302471068655,0.5305552833992331
48167725400,Galveston County,0.5575,3947,29.2819218,-94.8208616,18.0,"Galveston Pier 21, TX",9.0,0.0,0.0,,0.8888888888888888,0.3142857142857143,0.0,0.0,0.6015873015873016,0.5578347008204924,0.0,0.8980684766929108,0.5278715436297245
