tract_id,COUNTY,svi,population,lat,lon,flood_days,nearest_station,elevation_m,infra_count,flood_days_norm,svi_norm,low_lying_norm,infrastructure_norm,coverage_norm,score
13127000900,Glynn County,0.8104,4106,31.1261435,-81.4571145,9.333333333333334,"Fernandina Beach, FL",0.0,0,0.0,0.8196013971645778,0.9545454545454546,0.0,0.6638034460254711,0.5986244001155568
13179010302,Liberty County,0.7359,6069,31.852802,-81.5833954,14.333333333333334,"Fort Pulaski, GA",20.0,40,1.0,0.7430655434559277,0.5,0.2484472049689441,0.22089970737996495,0.5822767145201163
13051010814,Chatham County,0.4696,5319,31.9740193,-81.2762473,14.333333333333334,"Fort Pulaski, GA",3.0,19,1.0,0.46948839120608177,0.8863636363636364,0.11801242236024845,0.018271243504720282,0.5762845959754247
13191110202,McIntosh County,0.4955,1685,31.4902449,-81.4215105,14.333333333333334,"Fort Pulaski, GA",7.0,1,1.0,0.4960961577974111,0.7954545454545454,0.006211180124223602,0.36768194351359806,0.5751650823455803
13051004300,Chatham County,0.633,2550,32.0155607,-81.14483,14.333333333333334,"Fort Pulaski, GA",11.0,13,1.0,0.637353605917403,0.7045454545454546,0.08074534161490683,0.0875626489179347,0.5734377842728867
13051003900,Chatham County,0.7834,3953,32.0106917,-81.0780492,14.333333333333334,"Fort Pulaski, GA",23.0,44,1.0,0.7918635709882884,0.43181818181818177,0.2732919254658385,0.12476738682378938,0.5705750533441959
13051004210,Chatham County,0.6135,4908,31.991237,-81.1173083,14.333333333333334,"Fort Pulaski, GA",22.0,96,1.0,0.6173207314567495,0.4545454545454546,0.5962732919254659,0.09321216968935779,0.5703220665584168
13179010600,Liberty County,0.72,2002,31.7181539,-81.4004554,14.333333333333334,"Fort Pulaski, GA",16.0,6,1.0,0.7267310458187796,0.5909090909090908,0.037267080745341616,0.18875988964538182,0.5697580920947005
13051010818,Chatham County,0.8143,2246,32.0458623,-81.3323442,14.333333333333334,"Fort Pulaski, GA",18.0,0,1.0,0.8236079720567084,0.5454545454545454,0.0,0.08850243819087925,0.569568999072464
13051010503,Chatham County,0.6697,1797,32.05556,-81.1874687,14.333333333333334,"Fort Pulaski, GA",13.0,9,1.0,0.675056502979248,0.6590909090909092,0.055900621118012424,0.0948274223834645,0.5681120590270955
13179010202,Liberty County,0.7693,4300,31.8197412,-81.6095694,14.333333333333334,"Fort Pulaski, GA",26.0,53,1.0,0.7773782617628928,0.36363636363636365,0.32919254658385094,0.2470629977222819,0.5663895693795827
13051011007,Chatham County,0.4045,2486,31.9377252,-81.0986956,14.333333333333334,"Fort Pulaski, GA",1.0,1,1.0,0.40260941031436204,0.9318181818181819,0.006211180124223602,0.09619769753523628,0.5608797244119202
13051010701,Chatham County,0.5685,3511,32.1747587,-81.1702876,14.333333333333334,"Fort Pulaski, GA",16.0,43,1.0,0.5710910211629341,0.5909090909090908,0.2670807453416149,0.19033087435657595,0.5576952328585073
13127000504,Glynn County,0.8992,4422,31.2209825,-81.467407,9.333333333333334,"Fernandina Beach, FL",11.0,13,0.0,0.910828025477707,0.7045454545454546,0.08074534161490683,0.5894468391699791,0.5556685291661824
13051011008,Chatham County,0.3163,3660,31.9611848,-81.107891,14.333333333333334,"Fort Pulaski, GA",2.0,29,1.0,0.31199917813848366,0.9090909090909091,0.18012422360248448,0.09182086554486937,0.5525277462636775
13051010810,Chatham County,0.6833,5430,32.0801685,-81.2235159,14.333333333333334,"Fort Pulaski, GA",17.0,13,1.0,0.6890281487569345,0.5681818181818181,0.08074534161490683,0.10571874657020788,0.5498466659808826
13179010208,Liberty County,0.8154,5541,31.7949425,-81.6406635,14.333333333333334,"Fort Pulaski, GA",33.0,67,1.0,0.8247380316416683,0.20454545454545459,0.4161490683229814,0.27490696178921764,0.5486981022835058
13051011200,Chatham County,0.3692,1618,32.0701433,-81.0977753,14.333333333333334,"Fort Pulaski, GA",19.0,125,1.0,0.3663447709061023,0.5227272727272727,0.7763975155279503,0.14195535849065263,0.5473767762682703
13051010807,Chatham County,0.3937,6476,31.9503191,-81.2448882,14.333333333333334,"Fort Pulaski, GA",1.0,0,1.0,0.3915142798438463,0.9318181818181819,0.0,0.0,0.5469997384986085
13179010504,Liberty County,0.6412,2407,31.8368883,-81.4472784,14.333333333333334,"Fort Pulaski, GA",15.0,5,1.0,0.6457776864598316,0.6136363636363636,0.031055900621118012,0.13902220536871826,0.5463848206588982
13179010204,Liberty County,0.8402,2666,31.7720581,-81.6174554,14.333333333333334,"Fort Pulaski, GA",29.0,25,1.0,0.8502157386480377,0.2954545454545454,0.15527950310559005,0.26855976088451544,0.543848986785065
13191110101,McIntosh County,0.4207,1330,31.5503255,-81.5205034,14.333333333333334,"Fort Pulaski, GA",10.0,2,1.0,0.41925210602013563,0.7272727272727273,0.012422360248447204,0.3500629634432885,0.5308271003694548
13039010302,Camden County,0.6787,4941,30.8460969,-81.7909115,9.333333333333334,"Fernandina Beach, FL",9.0,0,0.0,0.684302445038011,0.75,0.0,0.9540996375124914,0.5257006972626523
