lat,lon,elevation_m
29.7870574,-95.3359408,17.0
29.859841,-95.2965469,20.0
29.6506227,-95.559587,25.0
29.5019392,-95.1359539,12.0
29.6531035,-95.506412,24.0
29.605594,-95.404806,21.0
29.8199173,-95.3073371,20.0
29.6900285,-95.517789,22.0
29.6401541,-95.5018992,23.0
29.6801873,-95.565005,27.0
29.8362058,-95.3814642,24.0
29.7163341,-95.0009518,0.0
29.6837842,-95.57659,25.0
29.7732559,-95.2217304,12.0
29.699182,-95.3244075,14.0
29.478908,-95.1224599,10.0
29.6887347,-95.3695345,13.0
29.6792534,-95.5571892,28.0
29.4883705,-95.1483745,9.0
29.7034718,-95.1943063,12.0
29.7638631,-95.2929525,15.0
29.654386,-95.3601789,19.0
29.7110597,-95.5124738,26.0
29.8448725,-95.3092658,23.0
29.9350797,-95.3903481,27.0
29.7886493,-95.2278273,25.0
29.6786913,-95.5464467,25.0
29.6946691,-95.2812699,15.0
29.6968042,-95.5412482,26.0
29.3077042,-94.7803622,12.0
29.8530072,-95.3099266,24.0
29.9035599,-95.2713048,23.0
29.6683005,-95.2801569,17.0
29.4749995,-95.1625849,12.0
29.9598818,-95.3917467,27.0
29.8221742,-95.0196332,13.0
29.6749892,-95.3068102,15.0
29.6957716,-95.2248643,13.0
29.4855244,-94.577374,1.0
29.6760958,-95.5215429,22.0
29.7916839,-94.9916546,14.0
29.8620041,-95.3929558,27.0
29.6983142,-95.5547682,24.0
29.8308466,-95.3387038,25.0
29.6647245,-95.5494555,21.0
29.9589078,-95.3477716,28.0
29.6916477,-95.3575745,17.0
29.6839896,-95.262852,14.0
29.6684916,-95.5318167,24.0
29.7009353,-95.4900265,24.0
29.6820045,-95.5298306,25.0
29.8413115,-95.350702,25.0
29.7163167,-95.5279431,24.0
29.7970912,-95.3321489,16.0
29.7981731,-95.3203735,20.0
29.7076821,-95.5424131,27.0
29.9729382,-95.4313583,33.0
29.6160441,-95.4544704,19.0
29.6971563,-95.6007323,27.0
29.7253976,-95.4962756,24.0
29.9516654,-95.4240204,32.0
29.7068143,-95.5169389,26.0
29.6630381,-95.2749989,17.0
29.7083526,-95.5513848,28.0
29.6832627,-95.5531423,25.0
29.7264985,-94.9771664,9.0
29.8630702,-95.4088157,26.0
29.6827449,-95.6094176,30.0
29.9283098,-95.4284337,27.0
29.6868141,-95.5554093,24.0
29.8003155,-95.1315829,12.0
29.7317086,-95.5619818,27.0
29.9058273,-95.425916,27.0
29.6999533,-95.5668326,26.0
29.6544782,-95.5763225,28.0
29.8534357,-95.391567,25.0
29.7764213,-95.3335041,20.0
29.6225436,-95.4304614,19.0
29.7010603,-95.2990496,13.0
29.6497861,-95.5163885,25.0
29.7864417,-95.3621992,16.0
29.8068975,-95.4769954,29.0
29.6641983,-95.5651337,27.0
29.8167961,-95.4926764,26.0
29.6765273,-95.2786693,14.0
29.6648611,-95.5890099,26.0
29.6645122,-95.5789767,27.0
29.7168441,-95.5431959,27.0
29.6774601,-95.2575385,14.0
29.6869069,-95.1829177,11.0
29.9364914,-95.4060248,30.0
29.680569,-95.3299245,19.0
29.6477685,-95.5057959,24.0
29.8391541,-95.3923596,18.0
29.9351146,-95.3049006,24.0
29.6594912,-95.5070287,22.0
29.6697612,-95.5851314,29.0
29.8347332,-95.3127198,23.0
29.8488405,-95.3376376,25.0
29.718099,-95.4937154,23.0
29.7091209,-95.4888961,25.0
29.8418052,-95.3668801,24.0
29.7943827,-95.3450894,18.0
29.8401714,-95.2786836,22.0
29.9520504,-95.3944208,26.0
29.7086575,-95.6095718,28.0
29.7056151,-95.1818051,13.0
29.8138484,-95.330229,20.0
29.8668801,-95.4495929,29.0
29.8059971,-95.2502681,26.0
29.6809788,-95.5031204,25.0
29.6608837,-95.532177,24.0
29.797785,-95.2118128,15.0
29.6054427,-95.3264973,16.0
29.8789474,-95.3349019,23.0
29.7661133,-95.1281275,10.0
29.7564963,-95.260864,17.0
29.7870675,-95.3275202,18.0
29.7223865,-95.3144687,18.0
29.7145907,-95.4868557,24.0
29.906774,-95.327696,25.0
29.6800729,-95.5912718,33.0
29.8599737,-95.6392541,33.0
29.8931361,-95.3251662,25.0
29.6986487,-95.1560466,12.0
29.8162125,-95.4554528,26.0
29.9583819,-95.4082234,35.0
29.6961359,-95.6094894,27.0
29.6969118,-95.5923358,25.0
29.9111893,-95.3889139,29.0
29.8569939,-95.4844214,27.0
29.671394,-95.5990545,30.0
29.7414554,-95.5283396,27.0
29.7987278,-95.4802566,31.0
29.7646709,-95.2330995,10.0
29.7182163,-95.4869012,23.0
29.831578,-95.3663222,23.0
29.9281658,-95.2897233,24.0
29.6794797,-95.5541748,24.0
29.6374862,-95.2594602,14.0
29.7332048,-95.2862683,11.0
29.8070095,-95.5037111,31.0
29.743492,-95.2215425,8.0
29.7291733,-95.4937956,23.0
29.689568,-95.2711577,10.0
29.696659,-95.580959,26.0
29.7046309,-95.6531591,28.0
29.8680795,-95.336921,22.0
29.8498715,-95.4657071,29.0
29.947808,-95.3935704,25.0
29.615549,-95.4760221,24.0
29.6887139,-95.3478932,17.0
29.6485884,-95.4713288,22.0
29.7011087,-95.2861718,15.0
29.8793086,-95.4249141,30.0
29.7399119,-95.5741083,28.0
29.8582183,-95.2726329,21.0
29.6217835,-95.237683,14.0
29.5706592,-95.1599779,9.0
29.6551252,-95.1769249,16.0
29.7816516,-95.1428602,14.0
29.9427937,-95.3917008,32.0
29.714443,-95.492511,25.0
29.6434456,-95.3322419,16.0
29.8422106,-95.1122938,25.0
29.6665605,-95.3233636,17.0
29.6620002,-95.5040573,24.0
29.8617444,-95.3074845,24.0
29.7529642,-94.9334749,12.0
29.6983882,-95.5483849,26.0
29.8765275,-95.4814196,26.0
29.6465413,-95.3784722,15.0
29.6729653,-95.5525108,30.0
29.9303913,-95.5011574,39.0
29.6876863,-95.2376936,14.0
29.8313304,-95.405205,24.0
29.8818677,-95.3491038,22.0
29.7809192,-95.3115924,18.0
29.8305873,-95.325201,24.0
29.6596818,-95.2745514,19.0
29.8763695,-95.3077825,27.0
29.8730007,-95.5368807,31.0
29.8768807,-95.3797448,27.0
29.7781578,-95.3230968,17.0
29.6846053,-95.5409273,24.0
29.8790854,-95.2745726,28.0
29.9697605,-95.4768191,35.0
29.8761202,-95.3198604,23.0
29.8332625,-95.192846,16.0
29.7084956,-95.5807871,28.0
29.665939,-95.2270082,13.0
29.783817,-95.2995098,18.0
29.6772103,-95.2196252,15.0
29.9283143,-95.4058397,30.0
29.6347678,-95.4165137,19.0
29.7238351,-95.5519751,28.0
29.8534594,-95.4363437,33.0
29.6958294,-95.1477075,9.0
29.9005904,-95.3964095,29.0
29.7128292,-95.4785161,22.0
29.9230752,-95.404839,29.0
29.824482,-95.503472,28.0
29.6712054,-95.6089906,30.0
29.7087134,-95.4950115,25.0
29.9333063,-95.4897763,36.0
29.9919402,-95.469782,45.0
29.9281382,-95.5743279,40.0
29.7308302,-95.5462955,26.0
29.6832755,-95.599648,27.0
29.6693964,-95.2699523,15.0
29.709988,-95.5367366,25.0
29.892596,-95.4731807,30.0
29.7081626,-95.6241896,25.0
29.6956307,-95.5735062,27.0
29.6671512,-95.5557475,25.0
29.8274619,-95.3485071,26.0
29.7214544,-95.4895197,24.0
29.8895099,-95.4617414,26.0
29.9167216,-95.0200269,18.0
29.5697166,-95.2085991,12.0
29.6626734,-95.3466946,18.0
29.6398866,-95.2257862,14.0
29.882525,-95.3610554,27.0
29.7299752,-95.3107949,12.0
29.7863474,-95.2850878,14.0
29.7347017,-95.4926459,25.0
29.7189931,-95.2991593,15.0
29.9142916,-95.3450125,24.0
29.7077035,-95.639154,28.0
29.8151628,-95.3434635,18.0
29.8603325,-95.3448895,23.0
29.8118411,-95.1879798,14.0
29.715307,-95.5169058,25.0
29.6815377,-95.2852604,15.0
29.7324592,-95.5413274,28.0
29.6749553,-95.3691233,19.0
29.9871263,-95.4877052,39.0
29.8493374,-95.4859978,30.0
29.7445004,-95.2951074,12.0
29.5706318,-95.0924885,6.0
29.8607474,-95.4707212,27.0
29.8450801,-95.5069575,27.0
29.6881522,-95.3760594,23.0
29.9164122,-95.3150362,20.0
29.8722441,-95.418276,31.0
29.9054154,-95.3072963,25.0
29.7045424,-95.3355622,14.0
29.7152961,-95.2428809,10.0
29.9044075,-95.2151989,27.0
29.9894493,-95.428432,34.0
29.7107157,-95.5306045,25.0
29.7219583,-95.3579408,21.0
29.9234175,-95.3657928,25.0
29.6803818,-95.344385,15.0
29.8484539,-95.3283761,23.0
29.8529494,-95.4499189,35.0
29.694189,-95.3381856,15.0
29.7288877,-95.4822382,21.0
29.8263308,-95.5307746,32.0
29.7747755,-95.3550489,19.0
29.9526294,-95.4466086,33.0
29.7357783,-95.2467911,9.0
29.7170693,-95.3251747,16.0
29.6177853,-95.2911513,18.0
29.9608453,-95.5571827,40.0
29.685675,-95.509302,21.0
29.9253365,-95.3885504,26.0
29.6874517,-95.5629416,27.0
29.6607543,-95.5203499,24.0
29.7021226,-95.4804176,23.0
29.6447146,-95.2117152,13.0
29.8637479,-95.2870796,20.0
29.6950477,-95.1662502,15.0
29.6312779,-95.2926173,16.0
29.7378633,-95.3604134,19.0
29.7182901,-95.4806352,21.0
29.9602099,-95.4216347,28.0
29.7851888,-95.2076883,15.0
29.8582185,-95.5307509,31.0
29.6473393,-95.4314349,21.0
29.9454743,-95.5802668,45.0
29.9888377,-95.2342099,32.0
29.806917,-95.4950326,31.0
29.8526013,-95.5497025,33.0
29.8041585,-95.3312426,19.0
29.6232275,-95.0105383,6.0
29.9578566,-95.4713104,36.0
29.7141893,-95.35729,16.0
29.2753211,-94.8191357,8.0
29.5978578,-95.4428953,21.0
29.9497216,-95.3889544,25.0
29.9512831,-95.4937683,35.0
29.7092106,-95.5026659,24.0
29.6647108,-95.0073802,8.0
29.7333477,-95.517431,26.0
29.7672653,-95.0427303,3.0
29.9451501,-95.2714963,24.0
29.7542552,-95.2006244,16.0
29.1603748,-95.0432919,0.0
29.8398272,-95.2937237,20.0
29.7314304,-95.6023918,28.0
29.6850652,-95.3137973,12.0
29.732539,-95.3248198,13.0
30.0318213,-95.4458248,34.0
29.8165562,-95.3649369,22.0
29.860055,-95.3546869,24.0
29.6346785,-95.4536495,22.0
29.7646425,-95.307671,15.0
29.6122756,-95.4336038,20.0
29.800392,-95.1872051,14.0
29.7298981,-95.3610125,18.0
29.7321055,-95.3497568,18.0
29.5988878,-95.1904393,12.0
29.6278814,-95.3182656,18.0
29.923702,-95.3245866,25.0
29.8412913,-95.1473693,14.0
29.7902459,-95.5268985,30.0
29.8067305,-95.3535208,20.0
29.7514647,-95.3287113,18.0
29.8848401,-95.4453403,31.0
29.9882075,-95.2643555,36.0
29.7793051,-95.1927525,14.0
29.8534493,-95.4202266,31.0
29.8017669,-95.5197006,33.0
29.6374126,-95.0618101,5.0
29.7894965,-95.5380653,30.0
29.9830234,-95.2905315,36.0
29.6670118,-95.2847899,16.0
29.685336,-95.6286604,31.0
29.7113758,-95.5415869,27.0
29.6526201,-95.1668761,14.0
29.6322318,-95.2288977,13.0
29.8148906,-95.4713169,24.0
29.829259,-95.5024151,28.0
29.6566446,-95.2197688,12.0
29.7227135,-95.6578548,33.0
29.8516318,-95.4039843,27.0
29.9568578,-95.4315035,42.0
29.8430246,-95.6544993,38.0
29.8915091,-95.433663,26.0
29.6991881,-95.2440992,13.0
29.5841992,-95.176149,12.0
29.7943621,-95.5176361,32.0
29.8250079,-95.5228108,33.0
29.8442707,-95.2011225,20.0
29.8242369,-95.3656588,25.0
29.8959119,-95.3513748,33.0
29.632015,-95.3440505,17.0
29.6278462,-95.2136038,14.0
29.8349288,-95.4960956,25.0
29.6960655,-95.1188728,13.0
29.9260518,-95.467689,34.0
29.7188585,-95.6342779,27.0
29.5816669,-95.1957301,11.0
29.8176644,-95.5410479,35.0
29.6973752,-95.4999729,22.0
29.9187464,-95.4384415,32.0
29.7052377,-95.2868304,12.0
29.2523177,-94.9240727,0.0
29.6955682,-95.6307057,31.0
29.2665918,-94.8465954,6.0
29.3314807,-94.9436304,4.0
29.7150522,-95.5520841,29.0
29.9765913,-95.4273556,38.0
29.9127214,-95.5480759,37.0
29.7249143,-95.5248404,25.0
29.7953916,-95.7245276,41.0
29.7267911,-95.5858055,26.0
30.0157224,-95.0839049,29.0
29.806804,-95.4870314,27.0
29.6669379,-95.5735673,33.0
29.6734152,-95.4357401,20.0
29.8916191,-95.4892092,33.0
29.7880273,-95.1983573,11.0
29.855131,-95.4952511,27.0
29.67773,-95.2355903,14.0
29.7268636,-95.3779522,18.0
29.6263774,-95.4974893,21.0
29.8697003,-95.5046102,25.0
29.98688,-95.450271,34.0
29.5956619,-95.2091822,11.0
29.800453,-95.5378892,38.0
29.2104388,-94.973165,0.0
29.6784422,-95.622366,30.0
29.9218656,-95.4861431,34.0
29.7078193,-95.5654888,25.0
29.7239806,-95.4871024,22.0
29.8111578,-94.9913885,15.0
29.9087981,-95.4517886,30.0
29.6581951,-95.3305738,17.0
29.655812,-95.1424321,8.0
29.8265714,-95.1639591,10.0
29.7977616,-95.1590244,11.0
29.8090933,-95.2052647,22.0
29.9351531,-95.3408688,28.0
29.7530873,-95.5683386,29.0
29.9875102,-95.3732973,36.0
29.6267678,-95.3499492,17.0
29.6674366,-95.4440195,24.0
29.8792764,-95.4010173,27.0
29.7658176,-95.3288618,18.0
29.6337489,-95.520956,24.0
29.9509869,-95.4761029,37.0
29.9474154,-95.4104973,35.0
29.5651387,-95.1087269,10.0
29.81656,-95.5118968,28.0
29.6975415,-95.3665463,19.0
29.9082771,-95.5007246,35.0
29.8523203,-95.3662381,28.0
29.6869475,-95.4877251,24.0
29.7364559,-95.3359747,12.0
29.6694937,-95.499711,23.0
29.6485541,-95.5296515,23.0
29.7345738,-95.49828,24.0
29.8175261,-95.3887898,23.0
29.7520836,-95.2767055,21.0
29.947089,-95.2263045,28.0
29.6704175,-95.5186283,26.0
29.7231758,-95.5432705,27.0
29.9001734,-95.5905766,38.0
29.716624,-95.6095615,28.0
30.004621,-95.4359881,35.0
30.0821798,-95.6173684,58.0
29.8297842,-95.5384479,34.0
29.6121982,-95.2732798,17.0
29.7227148,-95.5647321,22.0
29.874683,-95.634718,40.0
29.7139369,-95.5795752,26.0
29.8157781,-95.5314944,30.0
29.9417695,-95.4293818,34.0
29.7183288,-95.5067597,23.0
29.8587372,-95.5129694,30.0
29.7243764,-95.534001,26.0
29.8153898,-95.0412885,15.0
29.9501906,-95.2569333,29.0
29.7751464,-95.790629,45.0
29.6870675,-95.4977289,23.0
29.6785537,-95.4800376,22.0
29.7927912,-95.7388598,41.0
29.6970297,-95.6391055,29.0
29.8231943,-95.463003,27.0
29.8085325,-95.5398873,32.0
29.739641,-95.6163322,29.0
29.9768873,-95.247633,29.0
29.5942512,-95.256143,15.0
29.8210792,-95.1921157,21.0
29.7457725,-95.3037286,13.0
29.8261231,-95.3879776,20.0
29.7790403,-95.6007307,33.0
29.8672178,-95.4021729,29.0
29.8730288,-95.6763863,39.0
29.6051658,-95.2300861,16.0
29.9064322,-95.483956,36.0
29.6791537,-95.4158615,19.0
29.9697315,-95.4917709,39.0
29.6946956,-95.6510084,31.0
29.7324585,-95.633194,29.0
29.7222779,-95.4700803,22.0
29.9144724,-95.4612176,33.0
29.8850976,-95.1385243,22.0
29.9314561,-95.5970688,39.0
29.9705797,-95.5483846,44.0
29.8068871,-95.5146086,33.0
29.9203357,-95.4033164,28.0
29.6150432,-95.2482191,15.0
30.0031352,-95.4498177,37.0
29.814116,-95.0735465,0.0
29.5691771,-95.1206675,13.0
29.7337526,-95.5079975,26.0
29.6746648,-95.5011866,25.0
30.015153,-95.4353005,37.0
29.944954,-95.2964849,28.0
29.6617735,-95.4967033,23.0
29.6792631,-95.5813011,28.0
29.7245785,-95.6117408,27.0
29.8764494,-95.4563662,29.0
29.8204624,-95.6562593,37.0
29.634145,-95.3590655,16.0
29.6963073,-95.618999,27.0
29.5503439,-95.1445157,12.0
29.7144662,-95.6519492,29.0
29.7393055,-95.5184834,26.0
30.008984,-95.2300838,18.0
29.5584075,-95.1305252,10.0
29.9798489,-95.39976,36.0
29.944128,-95.4594405,36.0
29.7323603,-95.6130668,30.0
29.8754695,-95.2033898,25.0
29.7097312,-95.2945706,14.0
29.8645953,-95.3740348,30.0
29.811042,-95.454602,26.0
29.6647618,-95.3076091,15.0
29.5947429,-95.225701,15.0
30.0293005,-95.4867693,45.0
29.6862533,-95.445239,23.0
29.8576461,-95.0195754,16.0
29.697306,-95.1317655,11.0
29.8927029,-95.4068945,30.0
29.8058566,-95.1497428,13.0
29.8211369,-95.5533755,34.0
29.7652425,-94.9963507,11.0
29.9122939,-95.5115352,34.0
30.0274141,-95.425315,40.0
29.7625516,-95.2458797,10.0
29.8863712,-95.4982807,29.0
29.7259349,-95.5106411,26.0
29.5213838,-95.2007405,11.0
29.9779481,-95.499204,44.0
29.8359653,-95.4201472,28.0
30.0007605,-95.4126939,36.0
29.7986856,-95.4719357,25.0
29.8464571,-95.6430845,38.0
29.6841022,-95.0651043,10.0
29.9912789,-95.4384252,37.0
29.793671,-95.1707528,14.0
29.7535126,-95.7603533,39.0
30.0219364,-95.3668122,38.0
29.8017233,-95.1701831,12.0
29.9812593,-95.5575315,41.0
29.8090556,-95.7433095,42.0
30.1007294,-95.112658,35.0
29.930164,-95.5124368,38.0
29.7387558,-95.5848866,28.0
29.7347013,-95.4870018,22.0
29.6345193,-95.4242522,21.0
29.6624999,-95.39349,17.0
30.0121778,-95.4809464,40.0
29.5394197,-95.1349929,10.0
29.8003936,-95.1995606,19.0
30.0172559,-95.510313,39.0
29.6404142,-95.4709368,22.0
29.6609302,-95.5426618,25.0
29.9383278,-95.5293345,38.0
29.6847382,-95.4182205,19.0
29.6056656,-95.2580461,15.0
29.7985786,-95.5493255,35.0
29.7051834,-95.6694725,31.0
29.7200378,-95.3744784,19.0
29.9572629,-95.458552,35.0
30.0624648,-95.3891185,39.0
30.036491,-95.103554,31.0
29.8524559,-95.3782561,26.0
29.5779743,-95.038054,10.0
29.8719383,-95.6528696,36.0
29.6482654,-95.4870792,23.0
30.0387788,-95.532343,47.0
29.7993972,-95.5724269,30.0
29.823358,-95.5697134,34.0
29.7064172,-95.3504938,16.0
29.9460826,-95.558878,39.0
29.7988564,-94.9323333,18.0
29.8023949,-95.6658103,37.0
29.8869772,-95.6893703,42.0
29.7591689,-95.3790614,12.0
29.744056,-95.5864149,28.0
29.8757415,-95.6968466,43.0
29.6084085,-95.2143178,13.0
29.6339494,-95.0245468,6.0
29.7986937,-95.5587071,31.0
30.0506762,-95.3998062,41.0
30.0304915,-95.4173916,46.0
29.8923877,-95.4196267,30.0
29.6983415,-95.5291351,29.0
30.0122091,-95.3164752,34.0
29.8574106,-95.6506938,38.0
29.7594273,-95.633117,31.0
29.8685925,-95.5812725,36.0
29.9523563,-95.6385056,48.0
29.7032683,-95.425711,18.0
30.0743768,-95.2031065,28.0
29.7918917,-95.7000975,38.0
30.0590538,-95.4624926,42.0
29.9607733,-95.4895385,37.0
29.8519801,-95.7109415,41.0
29.5345772,-95.171547,8.0
29.5545735,-95.1718691,13.0
29.6743814,-95.1891936,14.0
29.759711,-95.3428956,12.0
29.7804684,-95.7356985,40.0
29.5919704,-95.0201976,8.0
29.74153,-95.5088059,24.0
29.698989,-95.5093677,26.0
29.5520045,-95.1364907,13.0
29.5472894,-95.1182423,10.0
30.0474108,-95.3807767,34.0
29.7060332,-95.1668094,12.0
29.617103,-95.2057141,12.0
29.9698614,-95.4555684,36.0
29.7936799,-95.1468291,12.0
30.0258952,-95.4347051,44.0
29.5532621,-95.1036441,8.0
29.5951606,-95.3870003,20.0
29.6453195,-95.1766173,17.0
30.0151924,-95.4595253,40.0
29.7329622,-95.5301033,27.0
29.7315502,-95.5754462,29.0
29.6477918,-95.2317334,12.0
29.9641416,-95.5739305,47.0
29.8880933,-95.6022229,38.0
30.0236878,-95.4502063,41.0
29.7503672,-95.6123667,31.0
29.8548135,-95.6651534,41.0
29.5249126,-95.1752215,11.0
29.9095372,-95.5949663,41.0
29.6716312,-95.1049703,8.0
29.8524543,-95.7477262,43.0
29.7560155,-95.5807553,30.0
29.8714664,-95.4714738,27.0
29.9733747,-95.0333022,21.0
29.7956969,-95.7120202,39.0
29.7844995,-95.2495802,13.0
29.7137231,-95.3916512,19.0
29.8302031,-95.4709951,26.0
29.8067448,-95.6962227,36.0
30.0439916,-95.1642092,25.0
29.5527678,-95.0756935,8.0
30.0103797,-95.5250906,39.0
29.8877924,-95.3825019,29.0
29.8030113,-95.3770418,18.0
29.8567279,-95.6796231,41.0
29.789358,-95.476561,27.0
29.8940267,-95.5084176,36.0
29.811598,-95.7114603,39.0
29.7281886,-95.4187689,18.0
29.8572378,-95.6965551,42.0
29.9382426,-95.6248007,43.0
29.9059343,-95.6255423,41.0
29.7269102,-95.6489919,31.0
30.0789393,-95.4883887,45.0
30.0129474,-95.4218273,37.0
29.7751728,-95.5943455,31.0
29.7071865,-95.3693828,18.0
29.617472,-95.3983444,22.0
29.6490268,-95.4971327,23.0
29.5954032,-95.2383815,16.0
29.9554541,-95.5726421,40.0
29.6908538,-95.4217495,23.0
29.9626481,-95.8506413,56.0
29.7408525,-95.5140448,23.0
