lat,lon,elevation_m
32.0490864,-80.9586871,2.0
32.0006807,-80.8478177,8.0
30.9337796,-81.7370758,17.0
32.0448982,-81.098953,10.0
30.8289405,-81.6179703,0.0
31.1765924,-81.3966427,3.0
32.1427025,-81.6357205,39.0
31.8872946,-81.0281552,3.0
32.1582778,-81.2558299,11.0
30.8017978,-81.6450495,10.0
31.5789411,-81.404451,20.0
31.9698671,-81.1430244,22.0
32.1785073,-81.3098001,22.0
30.8023621,-81.5278537,9.0
30.8432127,-81.4561463,2.0
32.0263819,-81.0168273,9.0
32.0688007,-81.3079572,11.0
31.8762219,-81.5986141,23.0
31.9325603,-81.2835794,5.0
30.7630719,-81.7176616,15.0
32.2652759,-81.406302,21.0
31.8464854,-81.6923027,32.0
31.9400649,-81.5681577,41.0
31.1489402,-81.4094234,2.0
31.2531748,-81.4240083,2.0
32.3019626,-81.2179474,17.0
30.7494891,-81.6235271,6.0
31.8651896,-81.301127,14.0
32.338768,-81.2259396,20.0
30.9134869,-81.572819,5.0
31.1331271,-81.3585938,0.0
32.3654161,-81.2775031,22.0
30.731293,-81.5558142,14.0
32.1812421,-81.2636906,13.0
30.781332,-81.6690376,20.0
32.282259,-81.20966,22.0
32.1808707,-81.2315084,21.0
32.2683983,-81.2428216,28.0
31.9585795,-81.0218001,20.0
31.830801,-81.1355054,13.0
31.2501806,-81.3283972,0.0
31.9734729,-81.0604216,17.0
31.123682,-81.521419,2.0
31.2427866,-81.6730385,13.0
32.2446252,-81.2829075,25.0
31.822265,-81.2150254,18.0
32.3503852,-81.4143256,39.0
31.173948,-81.3673715,1.0
31.1998068,-81.3850755,2.0
32.4352904,-81.2506435,35.0
30.8054918,-81.594787,13.0
32.1071063,-81.4632251,21.0
31.9807591,-81.7130226,30.0
31.2040481,-81.3324012,6.0
31.1465056,-81.3877288,12.0
32.0585601,-81.223664,21.0
32.346191,-81.3215115,34.0
31.2762003,-81.4693887,14.0
32.482162,-81.406062,41.0
32.2166029,-81.3480005,27.0
32.3109992,-81.3591829,42.0
