tract_id,COUNTY,svi,population,lat,lon,flood_days,nearest_station,elevation_m,impervious_frac,river_dist_mi,low_lying_norm,svi_norm,tidal_c,storm_c,river_c,sc_A,in50_A,sc_B,in50_B,sc_C,in50_C,sc_D,in50_D,sc_E,in50_E,n50,mean_rank
48201421700,Harris County,0.7152,4873,29.6869475,-95.4877251,10.667,"Morgans Point, TX",24.0,0.5350031020408162,0.09261063114880556,0.7037037037037037,0.715629377626576,0.35185185185185186,0.6727114803764924,0.9971279037035709,0.4973628621617415,0,0.7269675053995354,0,0.755388686489012,0,0.7307468813238552,0,0.7250778174373755,0,0,345.0
48201421801,Harris County,0.6681,1907,29.6785537,-95.4800376,10.667,"Morgans Point, TX",22.0,0.580722693877551,0.7377042233964237,0.7283950617283951,0.6685011006603963,0.36419753086419754,0.7301991737924316,0.9684845495532567,0.485918958782677,0,0.72100836295319,0,0.7590168569089173,0,0.7385107837174547,0,0.7122571525710577,0,0,351.8
48201421802,Harris County,0.1914,2063,29.685661,-95.4808616,10.667,"Morgans Point, TX",25.0,0.5192810612244898,0.25514161941410823,0.691358024691358,0.1915149089453672,0.345679012345679,0.6529426279871399,0.9899112258242211,0.2840133709855543,0,0.5069433956321456,0,0.5336857031662935,0,0.6120862245277385,0,0.4543719811843493,0,0,846.2
48201421900,Harris County,0.072,2833,29.6713977,-95.4847512,10.667,"Morgans Point, TX",23.0,0.4810516734693877,1.1817001956093518,0.7160493827160495,0.07204322593556134,0.3580246913580247,0.6048730973012044,0.9487703033938772,0.24363210518903936,0,0.4350966217377534,0,0.4574361109934835,0,0.556114420338484,0,0.374587722437388,0,0,996.8
48201422000,Harris County,0.2492,2235,29.6620014,-95.4846575,10.667,"Morgans Point, TX",23.0,0.4446339591836735,1.826015641261853,0.7160493827160495,0.24934960976585954,0.3580246913580247,0.5590815600267123,0.9201615003982679,0.3145546587211586,0,0.4827324239785327,0,0.5009781040520911,0,0.560526695382757,0,0.4438352882764205,0,0,898.6
48201422100,Harris County,0.5529,5443,29.6482654,-95.4870792,10.667,"Morgans Point, TX",23.0,0.4745505306122449,1.2659739393143457,0.7160493827160495,0.5532319391634981,0.3580246913580247,0.5966985775294781,0.9450283925835333,0.4361075904802141,0,0.6238423531832095,0,0.6453347355818345,0,0.6473791578564466,0,0.6120739508465909,0,0,576.6
48201422200,Harris County,0.9676,5732,29.6401541,-95.5018992,10.667,"Morgans Point, TX",23.0,0.4895648979591837,0.871815105592859,0.7160493827160495,0.9681809085451272,0.3580246913580247,0.615577603176894,0.9625297771910333,0.6020871782328657,0,0.8012087378565143,0,0.8239028139826547,0,0.7455513476269765,0,0.8290374329712831,0,0,141.8
48201422302,Harris County,0.4385,1936,29.6490268,-95.4971327,10.667,"Morgans Point, TX",23.0,0.5490417959183673,1.421567521227736,0.7160493827160495,0.4387632579547729,0.3580246913580247,0.6903636967933596,0.938119748436669,0.39032011799672395,0,0.6052090099903775,0,0.6406485793985307,0,0.6606909273355791,0,0.5774680513177768,0,0,613.8
48201422303,Harris County,0.9322,2651,29.6477685,-95.5057959,10.667,"Morgans Point, TX",24.0,0.6316614693877551,1.42968688612587,0.7037037037037037,0.9327596557934762,0.35185185185185186,0.7942494549054202,0.9377592335485231,0.5842149734285016,0,0.8332781449963325,0,0.8840906162475117,0,0.8001176413972845,0,0.8498583967958564,0,0,97.4
48201422304,Harris County,0.9813,3813,29.6531035,-95.506412,10.667,"Morgans Point, TX",24.0,0.6564158367346938,1.800143078980177,0.7037037037037037,0.981889133480088,0.35185185185185186,0.8253755306986633,0.9213102902376276,0.6038667645031464,0,0.8575237690097199,1,0.9141767023817818,1,0.8160686475195973,0,0.8782513297547813,1,3,56.0
48201422403,Harris County,0.6363,2599,29.6617735,-95.4967033,10.667,"Morgans Point, TX",23.0,0.5290878367346938,1.7360849655381914,0.7160493827160495,0.6366820092055233,0.3580246913580247,0.6652736414822467,0.9241545895014397,0.46948761849702414,0,0.6721525198814566,0,0.705203333446343,0,0.6839760234401011,0,0.6662407681021345,0,0,459.8
48201422404,Harris County,0.9833,2494,29.654967,-95.4970625,10.667,"Morgans Point, TX",23.0,0.5607143673469388,1.8260152944830919,0.7160493827160495,0.9838903342005203,0.3580246913580247,0.7050407571235923,0.9201615157958892,0.6083709484950229,0,0.8222328580412528,0,0.8612954738526208,0,0.7683470326548305,0,0.849175770734464,0,0,100.8
48201422405,Harris County,0.9139,1647,29.6594912,-95.5070287,10.667,"Morgans Point, TX",22.0,0.655866612244898,1.7970792419474495,0.7283950617283951,0.914448669201521,0.36419753086419754,0.8246849372830733,0.9214463302948254,0.584297986199127,0,0.8342381176366005,0,0.8897292964885081,1,0.8075012671149604,0,0.8476065428974207,0,1,93.6
48201422406,Harris County,0.8877,2752,29.6620002,-95.5040573,10.667,"Morgans Point, TX",24.0,0.5925832653061224,1.647820967826877,0.7037037037037037,0.8882329397638584,0.35185185185185186,0.7451126248236307,0.928073675003993,0.5664042870166545,0,0.7970564899070461,0,0.8416860556330279,0,0.7666643399547755,0,0.8122525648831815,0,0,167.4
48201422501,Harris County,0.6575,3333,29.6746648,-95.5011866,10.667,"Morgans Point, TX",25.0,0.5218202448979592,0.8089646913393896,0.691358024691358,0.6578947368421053,0.345679012345679,0.6561353907980686,0.9653204523668379,0.4705653021442495,0,0.6867979091413456,0,0.7160903500036258,0,0.6964322999077592,0,0.681980713758139,0,0,438.2
48201422502,Harris County,0.6952,3487,29.6694937,-95.499711,10.667,"Morgans Point, TX",23.0,0.5497285714285715,1.1763746940626318,0.7160493827160495,0.6956173704222535,0.3580246913580247,0.691227246496891,0.9490067655579165,0.4930617629837162,0,0.7116284947048159,0,0.7462638094187144,0,0.7169655361323369,0,0.7089599739910556,0,0,376.2
48201422601,Harris County,0.9384,3533,29.6809788,-95.5031204,10.667,"Morgans Point, TX",25.0,0.48677191836734696,0.36176636543255514,0.691358024691358,0.9389633780268162,0.345679012345679,0.6120657180518944,0.9851768889805506,0.5829927586181339,0,0.7916468033972599,0,0.8129624764996993,0,0.7425412785207411,0,0.8161995658355192,0,0,174.4
48201422602,Harris County,0.6729,2317,29.6870675,-95.4977289,10.667,"Morgans Point, TX",23.0,0.5056567346938776,0.0348914839794647,0.7160493827160495,0.6733039823894338,0.3580246913580247,0.6358114359724035,0.9996907410863841,0.4841364077705883,0,0.7012221104492947,0,0.7236363948055861,0,0.7105281531359151,0,0.6965690891059846,0,0,403.8
48201422701,Harris County,0.7385,5120,29.6973752,-95.4999729,10.667,"Morgans Point, TX",22.0,0.44834465306122445,0.731142798326718,0.7283950617283951,0.7389433660196119,0.36419753086419754,0.5637473766585585,0.9687758890181978,0.5140958649263633,0,0.6971782858203956,0,0.7114223370385586,0,0.683256592420657,0,0.704139132520265,0,0,411.8
